I,pattern,epsilon,chi,undercover_n,undercover_norm_n,cons_n,cons_norm_n,perf_n,perf_norm_n,max_auto_n,min_auto_n,mean_auto_n,lagrange_n
100,Low,0,3,634.0,7.044444444444443,723.7029713092039,8.041144125657821,0.0,0.0,0.02698,-0.50752,-0.18101,634.0
100,Low,0,4,634.0,7.044444444444443,723.7029713092039,8.041144125657821,0.0,0.0,0.02698,-0.50752,-0.18101,634.0
100,Low,0,5,634.0,7.044444444444443,723.7029713092039,8.041144125657821,0.0,0.0,0.02698,-0.50752,-0.18101,634.0
100,Low,0,6,634.0,7.044444444444443,723.7029713092039,8.041144125657821,0.0,0.0,0.02698,-0.50752,-0.18101,634.0
100,Low,0,7,634.0,7.044444444444443,723.7029713092039,8.041144125657821,0.0,0.0,0.02698,-0.50752,-0.18101,634.0
100,Low,0,8,634.0,7.044444444444443,723.7029713092039,8.041144125657821,0.0,0.0,0.02698,-0.50752,-0.18101,634.0
100,Low,0.01,3,657.5131683017048,7.305701870018941,723.7029713092039,8.041144125657821,23.513168301704738,0.26125742557449705,0.02698,-0.50752,-0.18101,634.0
100,Low,0.01,4,668.5091088957641,7.427878987730713,723.7029713092039,8.041144125657821,34.50910889576415,0.3834345432862683,0.02698,-0.50752,-0.18101,634.0
100,Low,0.01,5,673.9471286977443,7.488301429974937,723.7029713092039,8.041144125657821,39.94712869774437,0.44385698553049296,0.02698,-0.50752,-0.18101,634.0
100,Low,0.01,6,677.8268316680413,7.531409240756016,723.7029713092039,8.041144125657821,43.826831668041386,0.4869647963115709,0.02698,-0.50752,-0.18101,634.0
100,Low,0.01,7,681.8779207769522,7.576421341966137,723.7029713092039,8.041144125657821,47.87792077695229,0.5319768975216921,0.02698,-0.50752,-0.18101,634.0
100,Low,0.01,8,685.1636633512097,7.612929592791219,723.7029713092039,8.041144125657821,51.16366335120972,0.5684851483467747,0.02698,-0.50752,-0.18101,634.0
100,Low,0.02,3,681.0263366034095,7.566959295593438,723.7029713092039,8.041144125657821,47.026336603409476,0.5225148511489941,0.02698,-0.50752,-0.18101,634.0
100,Low,0.02,4,703.0182177915283,7.811313531016982,723.7029713092039,8.041144125657821,69.0182177915283,0.7668690865725366,0.02698,-0.50752,-0.18101,634.0
100,Low,0.02,5,713.8942573954888,7.93215841550543,723.7029713092039,8.041144125657821,79.89425739548874,0.8877139710609859,0.02698,-0.50752,-0.18101,634.0
100,Low,0.02,6,721.6536633360828,8.018374037067586,723.7029713092039,8.041144125657821,87.65366333608277,0.9739295926231418,0.02698,-0.50752,-0.18101,634.0
100,Low,0.02,7,729.7558415539045,8.10839823948783,723.7029713092039,8.041144125657821,95.75584155390457,1.0639537950433842,0.02698,-0.50752,-0.18101,634.0
