I,pattern,epsilon,chi,objval,lbound,iteration,undercover,undercover_norm,cons,cons_norm,perf,perf_norm,max_auto,min_auto,mean_auto,lagrange
50,Medium,0,3,348.0,347.0,34,348.0,6.96,342.0,6.84,0.0,0.0,0.28476,-0.48413,-0.19357,348.0
50,Medium,0,4,350.00001,347.0,42,350.00001,7.0,374.00002,7.48,53.00001,1.06,0.03634,-0.38413,-0.1806,350.0
50,Medium,0,5,347.0,347.0,50,347.0,6.94,347.0,6.94,0.0,0.0,0.13203,-0.45489,-0.17708,347.0
50,Medium,0,6,350.0,347.0,34,350.0,7.0,355.0,7.1,4.0,0.08,0.22294,-0.45489,-0.18195,350.0
50,Medium,0,7,347.0,347.0,43,347.0,6.94,304.0,6.08,0.0,0.0,0.08897,-0.37857,-0.17843,347.0
50,Medium,0.02,3,350.34,348.428,128,350.34,7.0068,183.0,3.66,5.34,0.1068,0.15476,-0.29221,-0.12994,350.34
50,Medium,0.02,4,353.36,349.72303,141,353.36,7.0672,165.0,3.3,2.36,0.0472,0.24476,-0.24675,-0.10598,353.36
50,Medium,0.02,5,351.96,351.54331,173,351.96,7.0392,156.0,3.12,4.96,0.0992,0.15476,-0.24675,-0.09536,351.96
50,Medium,0.02,6,353.14,352.54663,155,353.14,7.0628,149.0,2.98,6.14,0.1228,0.24476,-0.30952,-0.08776,353.14
50,Medium,0.02,7,355.18,354.39199,160,355.18,7.1036,149.0,2.98,8.18,0.1636,0.24476,-0.23292,-0.0793,355.18
50,Medium,0.04,3,351.96,349.83116,115,351.96,7.0392,181.0,3.62,2.96,0.0592,0.1131,-0.23292,-0.11948,351.96
50,Medium,0.04,4,355.32,352.43166,141,355.32,7.1064,158.0,3.16,5.32,0.1064,0.28476,-0.23292,-0.07272,355.32
50,Medium,0.04,5,358.28,356.00023,142,358.28,7.1656,162.0,3.24,8.28,0.1656,0.24476,-0.23292,-0.09464,358.28
50,Medium,0.04,6,361.04,357.87944,115,361.04,7.2208,146.0,2.92,10.04,0.2008,0.24476,-0.23292,-0.09237,361.04
50,Medium,0.04,7,363.76,361.38975,135,363.76,7.2752,138.0,2.76,10.76,0.2152,0.24476,-0.18944,-0.06745,363.76
50,Medium,0.06,3,352.44,351.20819,131,352.44,7.0488,180.0,3.6,4.44,0.0888,0.15476,-0.24675,-0.12223,352.44
50,Medium,0.06,4,358.12,354.93269,130,358.12,7.1624,163.0,3.26,6.12,0.1224,0.28476,-0.23292,-0.06836,358.12
50,Medium,0.06,5,361.44634,360.13967,105,361.44634,7.22893,150.0,3.0,10.44634,0.20893,0.40476,-0.18944,-0.08323,361.446
50,Medium,0.06,6,366.2,362.71184,103,366.2,7.324,139.0,2.78,13.2,0.264,0.1131,-0.17857,-0.09052,366.2
50,Medium,0.06,7,370.96,367.21052,109,370.96,7.4192,136.0,2.72,15.96,0.3192,0.24476,-0.17857,-0.05869,370.96
50,Medium,0.08,3,354.08,352.55773,112,354.08,7.0816,179.0,3.58,6.08,0.1216,0.28476,-0.23292,-0.11818,354.08
50,Medium,0.08,4,358.28,356.99128,142,358.28,7.1656,156.0,3.12,7.28,0.1456,0.24476,-0.23292,-0.1057,358.28
50,Medium,0.08,5,365.88,363.51947,119,365.88,7.3176,141.0,2.82,10.88,0.2176,0.24476,-0.18944,-0.06921,365.88
50,Medium,0.08,6,368.84,366.16999,125,368.84,7.3768,123.0,2.46,7.84,0.1568,0.1131,-0.17857,,368.84
50,Medium,0.08,7,373.36,371.39137,103,373.36,7.4672,127.0,2.54,11.36,0.2272,0.24476,-0.12857,-0.04173,373.36
50,Medium,0.1,3,356.5,353.84106,167,356.5,7.13,181.0,3.62,7.5,0.15,-0.04396,-0.24675,-0.13523,356.5
50,Medium,0.1,4,359.20001,358.36347,107,359.20001,7.184,144.00001,2.88,8.20001,0.164,0.24476,-0.23292,-0.09511,359.2
50,Medium,0.1,5,369.1,365.77167,97,369.1,7.382,128.0,2.56,8.1,0.162,0.1131,-0.17857,-0.08174,369.1
50,Medium,0.1,6,369.4,368.32199,104,369.4,7.388,119.0,2.38,8.4,0.168,-0.00265,-0.17857,-0.07634,369.4
50,Medium,0.1,7,378.1,373.84019,105,378.1,7.562,125.0,2.5,11.1,0.222,0.24476,-0.14596,-0.06674,378.1
